Serial No.,Average Daily Study Hours,English Self-Confidence Scale,University Rating,SOP,LOR ,Research,Chance of Admit 
1,7.1,9,4,4.5,4.5,1,0.92
2,3.9,5,4,4,4.5,1,0.76
3,1.7,4,3,3,3.5,1,0.72
4,4,7,3,3.5,2.5,1,0.8
5,2.2,4,2,2,3,0,0.65
6,5.3,7,5,4.5,3,1,0.9
7,3.2,7,3,3,4,1,0.75
8,0.9,3,2,3,4,0,0.68
9,0.9,3,1,2,1.5,0,0.5
10,3.9,6,3,3.5,3,0,0.45
11,2.5,5,3,3.5,4,1,0.52
12,4.7,7,4,4,4.5,1,0.84
13,4.2,6,4,4,4.5,1,0.78
14,1.9,4,3,4,3,1,0.62
15,1.4,4,3,3.5,2,1,0.61
16,2,4,3,3.5,2.5,0,0.54
17,2.8,4,3,4,3,0,0.66
18,1.6,5,3,4,3,1,0.65
19,3.3,5,3,4,3,0,0.63
20,2.8,4,3,3.5,3,0,0.62
21,2.1,6,3,3,2,1,0.64
22,2.4,7,4,3,2,0,0.7
23,5.8,8,5,5,5,1,0.94
24,6.3,9,5,5,4.5,1,0.95
25,6.1,8,5,4,3.5,1,0.97
26,6.5,9,5,4.5,4.5,1,0.94
27,3,5,5,4.5,3.5,0,0.76
28,0.3,3,2,1.5,2.5,1,0.44
29,0.7,1,1,2,2,0,0.46
30,0.8,2,2,1.5,2,0,0.54
31,1.6,2,2,3,3,1,0.65
32,2.9,4,3,4,4,1,0.74
33,6.1,9,4,3,4.5,1,0.91
34,5.8,7,5,4,4,1,0.9
35,7.1,7,5,4,5,1,0.94
36,5.1,6,5,5,5,1,0.88
37,2.9,5,2,4,4,0,0.64
38,1.2,3,1,1,2,0,0.58
39,0.6,4,1,3,1.5,0,0.52
40,0.5,5,2,4,3.5,0,0.48
41,1.5,6,3,3.5,3,1,0.46
42,1.9,4,2,2.5,2.5,1,0.49
43,2.8,5,2,2.5,2,1,0.53
44,4.1,8,4,4.5,4,0,0.87
45,5.2,6,5,4.5,4,1,0.91
46,4.6,6,5,5,4,1,0.88
47,5.2,7,5,4,5,1,0.86
48,7.1,9,5,4.5,4,0,0.89
49,4.4,6,3,3.5,5,1,0.82
50,2.1,6,4,3,4,1,0.78
51,2.5,2,3,2.5,4.5,1,0.76
52,0.7,2,2,1.5,3.5,1,0.56
53,0.9,8,4,4,3,1,0.78
54,1.9,7,4,4,2.5,1,0.72
55,1.5,6,3,3,3.5,0,0.7
56,0.3,4,3,3,3,0,0.64
57,0.8,3,3,2,3,0,0.64
58,0,3,2,4,2,0,0.46
59,0,3,1,3,2,1,0.36
60,2.5,4,2,2,2,0,0.42
61,1.4,3,2,3,3,0,0.48
62,1.9,3,3,4,3,0,0.47
63,1,3,2,3,3,1,0.54
64,2.5,5,2,4,3,1,0.56
65,4,7,3,3,3.5,0,0.52
66,4.5,7,4,3.5,3.5,0,0.55
67,4.6,7,3,3,3,0,0.61
68,4.2,6,2,3.5,3.5,1,0.57
69,5.3,6,3,3.5,4,1,0.68
70,4.3,7,4,4.5,4,1,0.78
71,6.1,8,5,5,5,1,0.94
72,7.2,7,5,5,5,1,0.96
73,5.7,6,5,5,5,1,0.93
74,5.1,6,4,4.5,4,1,0.84
75,2.9,4,3,3,5,0,0.74
76,3.3,7,2,2,4,1,0.72
77,3.1,6,3,3,3,1,0.74
78,2.4,3,2,3,2,0,0.64
79,1.5,1,2,3,2,1,0.44
80,0.4,0,1,1.5,2,0,0.46
81,1.9,5,3,2,3,1,0.5
82,6.4,9,4,5,5,1,0.96
83,5.4,6,5,5,4.5,1,0.92
84,5.4,8,5,4,4.5,1,0.92
85,5.3,7,5,4.5,4.5,1,0.94
86,3,4,4,4.5,3.5,0,0.76
87,3.2,5,3,4.5,3.5,0,0.72
88,1.9,5,2,3.5,3,0,0.66
89,0.9,5,3,4.5,3.5,0,0.64
90,3.8,6,4,4.5,3.5,1,0.74
91,0.6,4,2,4,4,1,0.64
92,0.7,2,3,5,3.5,0,0.38
93,1.2,2,2,4,3,0,0.34
94,1.2,2,2,3,3,1,0.44
95,0.5,3,3,2,2.5,0,0.36
96,0.1,2,4,1.5,2.5,0,0.42
97,1.7,3,2,3,3,0,0.48
98,4.6,9,3,4,4,1,0.86
99,5.1,9,4,5,4.5,1,0.9
100,3.9,7,3,4,4,1,0.79
101,1.6,4,3,3.5,3.5,1,0.71
102,1.2,4,2,2.5,3,0,0.64
103,2.6,5,2,4,3.5,0,0.62
104,2.5,4,2,4.5,4,0,0.57
105,4.5,6,3,3.5,3,1,0.74
106,4,6,3,4,4.5,1,0.69
107,5.2,6,4,4.5,4.5,1,0.87
108,6.4,9,4,3.5,4.5,1,0.91
109,5.2,8,5,5,5,1,0.93
110,2.9,3,5,5,4,0,0.68
111,2.4,5,5,3,3,0,0.61
112,3.6,6,4,4,4,1,0.69
113,2.7,5,3,3.5,3.5,1,0.62
114,3.6,7,2,4,3.5,0,0.72
115,3.1,5,3,3.5,3,1,0.59
116,4.8,5,4,4.5,4.5,1,0.66
117,3.9,4,3,4,3.5,0,0.56
118,1.3,4,4,2,2.5,0,0.45
119,1.5,3,2,3,3.5,0,0.47
120,4.5,5,5,3,3.5,1,0.71
121,6.4,8,5,5,5,1,0.94
122,5.3,8,5,4.5,4.5,1,0.94
123,3.3,5,4,1.5,2.5,0,0.57
124,1.3,5,3,3.5,3.5,0,0.61
125,4.1,6,4,2.5,3,0,0.57
126,4.1,4,3,2,3,1,0.64
127,4.9,7,3,4,3,1,0.85
128,3.7,7,3,2.5,2,1,0.78
129,4.7,7,3,3.5,3,1,0.84
130,5.6,8,5,5,5,1,0.92
131,6.3,7,5,4,4.5,1,0.96
132,3.3,5,5,5,4.5,0,0.77
133,2.9,5,5,3.5,3.5,0,0.71
134,4.1,7,5,4,4.5,0,0.79
135,4.3,6,5,4,4,1,0.89
136,4.2,6,4,3.5,4,1,0.82
137,2.7,4,3,5,4,0,0.76
138,1.2,3,2,1.5,3,1,0.71
139,4.6,8,2,4.5,3,1,0.8
140,3.9,5,1,3.5,3.5,0,0.78
141,4.6,6,2,4,3,1,0.84
142,6.4,9,2,4.5,3.5,1,0.9
143,4.4,6,5,4,3.5,1,0.92
144,7.1,9,4,4.5,4,1,0.97
145,4.6,7,2,3,3.5,1,0.8
146,3.7,7,2,2,2.5,1,0.81
147,2,4,3,2,2.5,0,0.75
148,4.1,7,3,3,3,1,0.83
149,7,8,4,4,3.5,1,0.96
150,2.2,5,2,3.5,3,1,0.79
151,6.5,8,4,4,4,1,0.93
152,5.6,8,5,5,5,1,0.94
153,4,6,5,5,5,1,0.86
154,3.4,4,3,3,4,0,0.79
155,4.1,6,3,3,3.5,0,0.8
156,3.4,6,3,3,3,0,0.77
157,3.4,5,3,2,2.5,0,0.7
158,2.7,5,2,2,2.5,0,0.65
159,1.6,4,2,2,2.5,0,0.61
160,1.5,3,1,1.5,2,0,0.52
161,0.6,4,1,1.5,2,0,0.57
162,1.9,3,1,1.5,3,0,0.53
163,3.1,6,3,3,3,0,0.67
164,2.4,4,3,3.5,3,0,0.68
165,5.2,7,4,4.5,4,1,0.81
166,4.4,6,5,4.5,4,0,0.78
167,2.9,4,3,3.5,5,0,0.65
168,3,4,3,2,3,0,0.64
169,0.5,2,2,2,4,1,0.64
170,1.2,3,2,2.5,3,0,0.65
171,1.2,3,2,2.5,3.5,1,0.68
172,4.4,8,5,4,4.5,1,0.89
173,4.3,6,4,4,5,1,0.86
174,5,7,4,4,4.5,1,0.89
175,4,6,4,4,4,1,0.87
176,4.6,7,4,4.5,3.5,1,0.85
177,4.7,9,4,4.5,4.5,1,0.9
178,5.2,6,3,3.5,3.5,0,0.82
179,1.9,6,3,2.5,3,0,0.72
180,3.3,5,3,3,3,0,0.73
181,1.4,4,3,3.5,3,0,0.71
182,2,5,2,2.5,2.5,0,0.71
183,0.5,3,2,3,3.5,0,0.68
184,4.2,6,3,4,4,0,0.75
185,2.1,5,2,2.5,4,0,0.72
186,5.7,8,4,4.5,4.5,1,0.89
187,3.1,5,3,3.5,3,1,0.84
188,5.7,8,5,4.5,3.5,1,0.93
189,5.2,7,5,4.5,3.5,1,0.93
190,4.2,6,5,5,5,1,0.88
191,4.7,6,5,4.5,4,1,0.9
192,4.3,6,5,4,5,1,0.87
193,5,8,5,4.5,4,1,0.86
194,5.3,8,5,4.5,5,1,0.94
195,3.4,5,3,3.5,3,0,0.77
196,2.9,5,2,3,3.5,1,0.78
197,2.3,5,2,3,2.5,0,0.73
198,2.4,5,2,3.5,2.5,0,0.73
199,3,4,3,4.5,4.5,0,0.7
200,2.7,4,3,4,4.5,0,0.72
201,3.5,4,3,2.5,3,1,0.73
202,3.1,6,2,3.5,3,1,0.72
203,7.1,9,5,4.5,4.5,1,0.97
204,8,10,5,4,5,1,0.97
205,2.4,4,3,3.5,4,0,0.69
206,0,2,2,2.5,3,0,0.57
207,1.9,4,2,3.5,3,0,0.63
208,1.5,4,3,3.5,4,1,0.66
209,2.3,5,2,3,3,0,0.64
210,3.8,6,3,3.5,4,1,0.68
211,5.1,6,4,4.5,4,1,0.79
212,5.4,7,4,5,4,1,0.82
213,7.1,10,4,5,5,1,0.95
214,7,9,5,5,4.5,1,0.96
215,5.5,8,4,4.5,5,1,0.94
216,5.7,8,5,5,4.5,1,0.93
217,5.5,7,4,4.5,4.5,1,0.91
218,4.5,5,4,4,4,1,0.85
219,4.3,6,4,3,3.5,1,0.84
220,2.5,4,3,3.5,3.5,0,0.74
221,5,5,3,4,4,0,0.76
222,2.3,6,3,3.5,4,0,0.75
223,4,7,4,4.5,4,0,0.76
224,2,5,2,3,4,0,0.71
225,2.2,5,2,3,2,0,0.67
226,2.1,3,2,2.5,2.5,0,0.61
227,3.2,6,2,3.5,4,0,0.63
228,2.5,6,2,3.5,3,0,0.64
229,2.7,6,3,4,3.5,0,0.71
230,5,7,4,3,3,1,0.82
231,2.3,3,3,4,4.5,0,0.73
232,2.4,5,3,3.5,2.5,1,0.74
233,1.7,4,2,2.5,3.5,0,0.69
234,1.1,3,2,2.5,3.5,0,0.64
235,6.5,8,5,5,4,1,0.91
236,5.3,7,5,4.5,4,1,0.88
237,4.5,6,4,4,4.5,1,0.85
238,5,7,5,4.5,5,1,0.86
239,2.8,5,3,2,3.5,0,0.7
240,1.3,3,1,1.5,2,0,0.59
241,1.7,3,1,2.5,3,0,0.6
242,1.9,4,2,2.5,2,0,0.65
243,3.6,7,3,3.5,3,1,0.7
244,4.8,7,3,3.5,3,1,0.76
245,2.8,5,2,2.5,4,0,0.63
246,4.1,5,4,4,2.5,1,0.81
247,3.8,5,3,3,3.5,0,0.72
248,1.8,3,2,2.5,3.5,0,0.71
249,5.3,7,3,3.5,4,1,0.8
250,3.6,6,3,3.5,4,1,0.77
251,2.9,4,3,3,2.5,1,0.74
252,5.1,3,2,2.5,3,0,0.7
253,3.7,4,2,2.5,3.5,1,0.71
254,6.6,8,4,4.5,4.5,1,0.93
255,3.6,6,4,4,5,0,0.85
256,2,6,4,4,4.5,0,0.79
257,4,3,3,4,4,0,0.76
258,3.2,3,3,4,5,1,0.78
259,3.7,4,4,5,5,1,0.77
260,6.2,9,4,5,4.5,1,0.9
261,4.8,5,5,5,3.5,1,0.87
262,2.1,5,3,3.5,4,0,0.71
263,1,3,2,2.5,4,1,0.7
264,3.2,6,3,2.5,1.5,1,0.7
265,3.9,6,2,3,2.5,1,0.75
266,3.3,4,3,2.5,2.5,0,0.71
267,3.6,5,2,2,2.5,0,0.72
268,1.3,5,3,3,3.5,1,0.73
269,4.6,7,4,4.5,5,0,0.83
270,2.5,6,4,4.5,5,0,0.77
271,2.5,5,2,2.5,3,1,0.72
272,0.5,2,2,1.5,2,0,0.54
273,0.3,1,1,1.5,1.5,0,0.49
274,1.2,3,1,1,1.5,1,0.52
275,0.9,3,1,2,2.5,0,0.58
276,4.1,6,3,3.5,3,1,0.78
277,6,7,5,5,4.5,1,0.89
278,2.6,3,2,2.5,3,0,0.7
279,2.6,4,2,3,3.5,0,0.66
280,3.4,3,2,3,4,0,0.67
281,3.5,4,3,4.5,4,1,0.68
282,4.8,6,3,4,4.5,1,0.8
283,4.6,6,3,4,3.5,1,0.81
284,3.7,6,3,2.5,3,1,0.8
285,7.2,7,4,5,4.5,1,0.94
286,4,7,5,4,4,1,0.93
287,4.7,8,5,4.5,4,1,0.92
288,4.9,7,5,5,4.5,1,0.89
289,4.1,4,4,5,5,0,0.82
290,4.4,6,3,4,3.5,0,0.79
291,1.9,4,2,2.5,3,0,0.58
292,0.7,4,2,1.5,2,0,0.56
293,1,3,2,1,2,0,0.56
294,2.5,3,1,3.5,3,1,0.64
295,2.6,4,2,2.5,2,1,0.61
296,2.8,3,2,3,2.5,0,0.68
297,3.5,5,3,3.5,3.5,0,0.76
298,4.6,9,3,4,4.5,0,0.86
299,5.1,7,3,4.5,4.5,1,0.9
300,3.6,7,3,3,3.5,0,0.71
301,1.1,5,2,2.5,2.5,0,0.62
302,3,5,2,2.5,3,0,0.66
303,3.1,5,2,3,3,1,0.65
304,2.9,5,3,3.5,3.5,1,0.73
305,2.5,5,2,2.5,2,0,0.62
306,3,5,3,3.5,3.5,1,0.74
307,4.9,6,3,4,3.5,1,0.79
308,4.2,6,4,4,4,1,0.8
309,3.7,6,3,3.5,3,0,0.69
310,2.8,6,4,3.5,3,0,0.7
311,3.5,4,3,3,3.5,1,0.76
312,5.5,6,4,4.5,4,1,0.84
313,5,6,4,4.5,4.5,1,0.78
314,1.4,3,3,3.5,3,0,0.67
315,2.3,5,2,3,4,0,0.66
316,1.5,4,2,2.5,3,0,0.65
317,1.5,4,2,1.5,2,0,0.54
318,1,3,1,1,2.5,0,0.58
319,3.8,6,3,2.5,2,1,0.79
320,3.7,7,4,3.5,3,1,0.8
321,2.9,5,3,4,3.5,1,0.75
322,3.2,5,3,4,4,1,0.73
323,2,5,2,2.5,4,0,0.72
324,3.1,5,2,2,2.5,0,0.62
325,2,4,3,3,2.5,0,0.67
326,4.5,8,3,3.5,4,1,0.81
327,1.4,3,3,2,2,0,0.63
328,1.2,4,2,2.5,2,0,0.69
329,4.5,7,4,4,3.5,1,0.8
330,1,2,2,2.5,1.5,0,0.43
331,3.8,7,3,3.5,3,1,0.8
332,0.9,4,2,3,2,1,0.73
333,2.3,5,3,3.5,2.5,1,0.75
334,3,5,3,3,3.5,1,0.71
335,3.6,5,4,4.5,4,1,0.73
336,4.4,6,4,4,4.5,1,0.83
337,3.3,5,3,3,2.5,0,0.72
338,5.4,8,5,5,5,1,0.94
339,4,6,5,4,4,1,0.81
340,3,5,5,3.5,4,1,0.81
341,1.9,4,3,3,3,1,0.75
342,3.4,6,3,3.5,3.5,1,0.79
343,2.4,5,3,3,3,0,0.58
344,1.6,4,2,2.5,3.5,0,0.59
345,1.4,2,2,1.5,2,0,0.47
346,1.9,3,1,1.5,2,0,0.49
347,1.6,1,2,1.5,2,0,0.47
348,0.8,1,1,1,1,0,0.42
349,0.3,2,1,2,2,0,0.57
350,1.2,3,3,2.5,3,0,0.62
351,1.9,5,3,3,3.5,1,0.74
352,3.9,7,4,3.5,4,1,0.73
353,1.9,3,2,3,3.5,1,0.64
354,1.4,3,3,3.5,2.5,0,0.63
355,0.3,2,2,2.5,3,0,0.59
356,1.4,5,2,2,3.5,0,0.73
357,3.3,5,3,3.5,4,1,0.79
358,0.5,4,2,3.5,3.5,1,0.68
359,1.5,4,2,2.5,2,0,0.7
360,2.4,5,2,2,1.5,0,0.81
361,4,7,3,4,5,1,0.85
362,6.9,9,4,4,3.5,1,0.93
363,4.7,7,5,4.5,5,1,0.91
364,1.7,3,2,2.5,3,0,0.69
365,4.5,4,3,3.5,4,1,0.77
366,5,7,4,4.5,3,1,0.86
367,3,5,3,3.5,4.5,1,0.74
368,1.3,2,1,1,2.5,0,0.57
369,0.8,0,1,2,2,0,0.51
370,1.3,2,1,2,3,1,0.67
371,1.8,4,2,2.5,2.5,0,0.72
372,5.2,6,3,3.5,3,1,0.89
373,6.8,9,4,4.5,4,1,0.95
374,3.4,6,3,3,3,1,0.79
375,1.3,5,2,2,2.5,0,0.39
376,1.7,3,2,2,2.5,0,0.38
377,1.6,2,2,2.5,2,0,0.34
378,0.1,3,1,1.5,2,0,0.47
379,1.3,3,1,2,2.5,0,0.56
380,2.4,2,1,2.5,3,1,0.71
381,3.5,4,3,3.5,4,1,0.78
382,3.1,4,3,3,3.5,1,0.73
383,3.3,5,4,4.5,4,1,0.82
384,2.1,3,3,3,3.5,0,0.62
385,6.5,7,4,5,5,1,0.96
386,7.2,8,5,5,5,1,0.96
387,1,3,2,2.5,3.5,0,0.46
388,2.4,5,2,2,3.5,0,0.53
389,1.6,3,2,1.5,2,0,0.49
390,2.4,5,3,3.5,4,1,0.76
391,1.5,3,2,2,2.5,0,0.64
392,4.3,5,3,2,3,0,0.71
393,4.1,6,4,4,3.5,1,0.84
394,3.6,4,2,3,3,0,0.77
395,5.4,6,4,4.5,4,1,0.89
396,4.4,6,3,3.5,3.5,1,0.82
397,4.2,5,3,3,3.5,1,0.84
398,6.3,8,4,5,4.5,1,0.91
399,3.6,4,3,3.5,4,0,0.67
400,7,9,4,5,4,1,0.95
401,1.1,2,2,3.5,3,0,0.63
402,1.8,4,2,3,3,0,0.66
403,4.1,6,3,3.5,3,1,0.78
404,5.3,8,4,4,3.5,1,0.91
405,1.7,3,3,2,2.5,1,0.62
406,0.1,3,3,2.5,3,0,0.52
407,0.6,3,4,3,2.5,1,0.61
408,0.6,2,3,2.5,4,1,0.58
409,0.6,3,3,2,4,1,0.57
410,2.4,3,1,2,2.5,0,0.61
411,0.2,2,1,3,4,0,0.54
412,1.2,0,2,2.5,1.5,0,0.56
413,0.4,3,4,2.5,2,1,0.59
414,1.9,4,3,3,2,1,0.49
415,2.4,6,4,3.5,4,1,0.72
416,3.1,4,4,4,4.5,1,0.76
417,2.1,5,3,4,2.5,0,0.65
418,0.3,4,3,3.5,2,0,0.52
419,2,7,2,2.5,4,0,0.6
420,1,3,2,2,3.5,1,0.58
421,1.1,4,3,2,3,0,0.42
422,5,7,3,3,4.5,1,0.77
423,4.3,6,4,3.5,2.5,1,0.73
424,6.7,9,5,4.5,5,1,0.94
425,5.8,7,5,4,5,1,0.91
426,7.5,7,5,4,5,1,0.92
427,2.1,4,3,3,5,0,0.71
428,3.2,3,3,3.5,5,1,0.71
429,3.8,4,2,2,4.5,0,0.69
430,3.5,7,5,5,4.5,1,0.95
431,0.9,3,3,4,3.5,1,0.74
432,2.9,6,2,3.5,3.5,1,0.73
433,4.6,6,4,4.5,4,1,0.86
434,3.4,6,4,4,5,0,0.71
435,3,5,3,3.5,3,0,0.64
436,0.4,4,2,2.5,4,0,0.55
437,1.5,7,1,1.5,4,1,0.58
438,0.1,5,1,1.5,3.5,1,0.61
439,2,5,1,2.5,3.5,1,0.67
440,2.7,4,2,1.5,3,0,0.66
441,0.6,4,2,2.5,1.5,0,0.53
442,4,7,1,1.5,3,1,0.79
443,4.6,7,4,4.5,4.5,1,0.92
444,5,7,5,4.5,4.5,1,0.87
445,4.8,7,5,4,5,1,0.92
446,5,8,5,4.5,5,1,0.91
447,6.5,8,4,5,5,1,0.93
448,3.5,5,3,3.5,5,1,0.84
449,4.4,6,2,2.5,4,0,0.8
450,4.5,3,3,3.5,4.5,0,0.79
451,4,7,4,3,4.5,1,0.82
452,5.9,8,4,4.5,4.5,1,0.89
453,5.7,7,4,5,3.5,1,0.93
454,4,4,3,2.5,4,1,0.73
455,1,4,2,3,3.5,0,0.71
456,0.2,4,2,1.5,2.5,0,0.59
457,0.9,3,2,2,2,0,0.51
458,0.2,2,1,2,1.5,0,0.37
459,2.9,3,1,3,3,1,0.69
460,5.3,7,4,4,3.5,1,0.89
461,3.6,5,4,4,4.5,1,0.77
462,2.3,4,3,2.5,2,1,0.68
463,0.6,4,4,3,3,0,0.62
464,0.8,5,3,3.5,3,0,0.57
465,1.2,2,2,2,3,0,0.45
466,1.8,2,4,3,4.5,0,0.54
467,4.2,3,4,3.5,4.5,1,0.71
468,4.4,4,5,3.5,5,1,0.78
469,3.6,6,4,4,5,1,0.81
470,4.9,7,4,4,3.5,1,0.86
471,5.9,7,5,4,4,1,0.87
472,0.4,3,3,2,4,0,0.64
473,5,7,4,4,4.5,1,0.9
474,2.4,4,2,4,3.5,0,0.67
475,1.7,5,4,3,2.5,1,0.67
476,0.9,3,3,3.5,2.5,0,0.59
477,2.7,5,3,2.5,2,0,0.62
478,1.9,4,4,3.5,2,0,0.65
479,4.5,5,3,4,4.5,1,0.71
480,4.7,6,4,4.5,4,1,0.79
481,3.8,3,3,3.5,4,1,0.8
482,2.3,5,4,3,2.5,1,0.78
483,2.6,6,4,4,2.5,1,0.83
484,1.4,4,5,5,3,0,0.71
485,0.3,5,3,3.5,3,1,0.73
486,1.7,3,2,2.5,3.5,1,0.7
487,2.1,3,3,2.5,2.5,0,0.68
488,4.6,7,4,3.5,4,0,0.79
489,4.2,7,3,3,4,1,0.76
490,3.4,6,3,4,4.5,0,0.65
491,1.8,5,2,2.5,4.5,1,0.67
492,1.7,4,4,3,3.5,0,0.54
493,0.2,3,4,2.5,4.5,1,0.53
494,1.3,1,2,3,1.5,1,0.62
495,3.1,3,3,2.5,2,1,0.68
496,4.9,6,5,4.5,4,1,0.87
497,7.1,8,5,5,5,1,0.96
498,6.9,10,5,4.5,5,1,0.93
499,2.4,4,4,4,5,0,0.73
500,4.1,7,4,4.5,4.5,0,0.84
